day,time,str
20151008,450,11000100001010001000
20151008,451,11000100011010001100
20151008,452,11000000011010011100
20151008,453,11000100000011001100
20151008,454,11000100011001001100
20151008,455,11010010011011011100
20151008,456,11010110001011001100
20151008,457,11000110001000011100
20151008,458,11100010001010001100
20151008,459,11000010001010001100
20151008,460,11000100000011011110
20151008,461,11000000011010011100
20151008,462,11000010011011011100
20151008,463,00000011011011001110
20151008,464,10000001011111011110
20151008,465,10000111011111001110
20151008,466,01000000011111001110
20151008,467,11000111011011001100
20151008,468,11000111011011001100
20151008,469,11010010011111001100
20151008,470,11100110011110001100
20151008,471,11110100011110001100
20151008,472,11000110011110000110
20151008,473,11000110011110010110
20151008,474,11101110001110010110
20151008,475,11101100011111010110
20151008,476,11000100011101011110
20151008,477,11100100011101011110
20151008,478,01001100011101010110
20151008,479,01101010010111010110
20151008,480,01000110010101000110
20151008,481,01001100010111000100
20151008,482,01001111000101001110
20151008,483,01011011010101011110
20151008,484,10011110011110011100
20151008,485,10000110000100011100
20151008,486,10000110010110011110
20151008,487,11101110011100011100
20151008,488,10000110011100011110
20151008,489,00000100011001011000
20151008,490,00100100011100000100
20151008,491,10001110001100001100
20151008,492,10001100001100010110
20151008,493,11001110001100010110
20151008,494,11001100001100011110
20151008,495,10101100001101010100
20151008,496,10001010011000011100
20151008,497,00001010001100011100
20151008,498,00000110011101011100
20151008,499,10000110000101011100
20151008,500,10001010010100011110
20151008,501,11001010000100011110
20151008,502,10001010001100011110
20151008,503,10001010001100011110
20151008,504,00001010000100111110
20151008,505,11001110010101111110
20151008,506,10001110000101011110
20151008,507,10101110010100011110
20151008,508,10001010010100011110
20151008,509,10001000000100111110
20151009,450,10010001111100001110
20151009,451,10000001111100001100
20151009,452,10010100001100001110
20151009,453,10010010010000001100
20151009,454,11010010001101001110
20151009,455,11000000011100000110
20151009,456,11010100011100001110
20151009,457,11000000011101011010
20151009,458,11000000011101000110
20151009,459,10100000011101000110
20151009,460,11000010011101011100
20151009,461,11000010001101011100
20151009,462,11000010001100001100
20151009,463,11010010011101001100
20151009,464,11000010011101011110
20151009,465,11000010001101001110
20151009,466,11010010001101001110
20151009,467,11010010001101011110
20151009,468,10000011001101001110
20151009,469,11010111111100001110
20151009,470,10100111011100001100
20151009,471,11100111001100000110
20151009,472,10100100101100011110
20151009,473,11100010011100001110
20151009,474,11100010101100001110
20151009,475,11000011001101001110
20151009,476,11000011001101001110
20151009,477,10100110101101011010
20151009,478,11000010100101001110
20151009,479,10000010000101001010
20151009,480,10000010001100011010
20151009,481,11000010011100001110
20151009,482,11000010001100001110
20151009,483,11000010001100001110
20151009,484,10000000001101011100
20151009,485,10000010011100011110
20151009,486,10000010011100011110
20151009,487,11000011001100001110
20151009,488,10000000001101010110
20151009,489,11000010101100000010
20151009,490,10000010000101001110
20151009,491,10000010001101001110
20151009,492,10000010001100001110
20151009,493,10010010000100001110
20151009,494,11010010001101011110
20151009,495,10110110000100000110
20151009,496,11000110011000001110
20151009,497,11000010001000011110
20151009,498,11000010001100011110
20151009,499,11000010000101000110
20151009,500,01000110000100001110
20151009,501,11000010000111001110
20151009,502,11000010000111001110
20151009,503,11000010000100001110
20151009,504,10000000000100011110
20151009,505,10000000000100011110
20151009,506,10000010000100011110
20151009,507,10000010000000010110
20151009,508,10000110000100011110
20151009,509,10000110000000011110
20151010,450,11100110101100000100
20151010,451,11100100000001000000
20151010,452,11100100001001001100
20151010,453,11100100001101001100
20151010,454,11100100000101011100
20151010,455,11000100101101001100
20151010,456,01000000110101001100
20151010,457,11100100000101001100
20151010,458,11000000001011001100
20151010,459,11000000001101011110
20151010,460,11000000011000010100
20151010,461,10000000001111011100
20151010,462,11000001010110000100
20151010,463,11001010010110010100
20151010,464,10000010000110010100
20151010,465,10000000011100010100
20151010,466,10000000101111010100
20151010,467,10100000001110000100
20151010,468,10000110111100010100
20151010,469,10000110111100011100
20151010,470,10000110001101010100
20151010,471,10100110011101010100
20151010,472,01101111001101010100
20151010,473,11000011001101010100
20151010,474,11000111001101010100
20151010,475,11000111001101010110
20151010,476,01000110001101011110
20151010,477,11100110001101001100
20151010,478,11010100000100011110
20151010,479,11010000001101001100
20151010,480,11100110001101001100
20151010,481,11100111001110001100
20151010,482,10100111101111011100
20151010,483,11100111001101001100
20151010,484,11000010001101001100
20151010,485,01100110011101011100
20151010,486,11100111001100011100
20151010,487,11100110000100011110
20151010,488,11100110000100011110
20151010,489,11100110000111011100
20151010,490,11100110010100011100
20151010,491,10000110011100011010
20151010,492,11100100000110011100
20151010,493,11000110000110011100
20151010,494,11100110011100011110
20151010,495,11000110011100011110
20151010,496,11000110010110011110
20151010,497,10001100000110011110
20151010,498,10001100000101011110
20151010,499,10110100000101011110
20151010,500,11100100000110011110
20151010,501,11000100000111011110
20151010,502,11100100000111011110
20151010,503,10000110000111011110
20151010,504,10010110110111011110
20151010,505,11000110010111011110
20151010,506,11000110010111011100
20151010,507,11000010100111011110
20151010,508,10000110010111011110
20151010,509,10000110011111011110
20151012,450,10000111011101010110
20151012,451,11000001011101011100
20151012,452,11101001011101011100
20151012,453,11001001011101011100
20151012,454,11001000011101011100
20151012,455,10000000011111001100
20151012,456,10000000011111011100
20151012,457,11000111011111011100
20151012,458,11000110011101011100
20151012,459,11001101011101011100
20151012,460,11001101011111011100
20151012,461,11011101011101011100
20151012,462,11001100011101001100
20151012,463,11001100011101011100
20151012,464,11001101011101011100
20151012,465,11001001011101011100
20151012,466,11001001010101011100
20151012,467,11001010011101011100
20151012,468,11001001010101011100
20151012,469,11001001001101011100
20151012,470,11001000010101011100
20151012,471,11001010011111011100
20151012,472,11001111011111011100
20151012,473,11001101111111001110
20151012,474,11001101111101010100
20151012,475,11101101111101010100
20151012,476,11011101111101010100
20151012,477,11011100111111010100
20151012,478,00101111110111011100
20151012,479,00101111110101011100
20151012,480,00101111010111010100
20151012,481,10101111010111010100
20151012,482,01101111010101000100
20151012,483,10001110010101011100
20151012,484,01101110010101011110
20151012,485,01001010011111011100
20151012,486,01001010011111011100
20151012,487,01101110011001011100
20151012,488,11101110011110000100
20151012,489,01101111010110000100
20151012,490,11111110011111000110
20151012,491,01111100011111011110
20151012,492,01011010010111011110
20151012,493,01101110000010011110
20151012,494,11011110011011011100
20151012,495,11011110010110011100
20151012,496,01011110010111011100
20151012,497,00101110010110011100
20151012,498,01101111010011011100
20151012,499,11101110010011011100
20151012,500,11111110010111011110
20151012,501,11111110011010011110
20151012,502,11011110010111011110
20151012,503,11011110010111011110
20151012,504,11001110010111011110
20151012,505,11011111011110011110
20151012,506,11011111011011011110
20151012,507,11011110011111011100
20151012,508,11011010011011001110
20151012,509,11011110011011011110
20151013,450,11100110101100000100
20151013,451,10110100101101000100
20151013,452,11110100100101000100
20151013,453,01101110001101000100
20151013,454,01101110001101000100
20151013,455,11110100101101001100
20151013,456,11100101101101001100
20151013,457,10100110111101001100
20151013,458,11100011101101001000
20151013,459,11110011101101001100
20151013,460,11100011101101000100
20151013,461,11100011111101000100
20151013,462,10100000101101000100
20151013,463,10100000101101000100
20151013,464,01100010101100001100
20151013,465,01100000111101001100
20151013,466,01100110101101001000
20151013,467,01000110101101000100
20151013,468,01000110111101000000
20151013,469,01000010111101000100
20151013,470,00000110101111001100
20151013,471,01000010111101001000
20151013,472,00000010111101001010
20151013,473,01000010111101001000
20151013,474,01000010101101001100
20151013,475,11000000111101001100
20151013,476,10010000111101001100
20151013,477,00100110101101001110
20151013,478,00100110101101001100
20151013,479,01100110101101001100
20151013,480,01100110111101001100
20151013,481,01100110111101001100
20151013,482,00110110111001001100
20151013,483,01100110110101001100
20151013,484,01000110110101001100
20151013,485,01100110010101001100
20151013,486,01100110110101001100
20151013,487,01100110100001011110
20151013,488,00100110110101011110
20151013,489,01000110100001011110
20151013,490,01100110100001011100
20151013,491,01100110101101011100
20151013,492,01010010100101011100
20151013,493,01000110111001011100
20151013,494,01000110110001011100
20151013,495,11100110101001010110
20151013,496,11100110101001011100
20151013,497,01100110100101010100
20151013,498,11100110010001010110
20151013,499,11100010000001011110
20151013,500,11100010110001011110
20151013,501,11100110111001010110
20151013,502,11100110001001011110
20151013,503,01100110100001011100
20151013,504,00100010100001011110
20151013,505,01100100100001011110
20151013,506,10100110101001011110
20151013,507,00100110101001011000
20151013,508,10000110001001011110
20151013,509,00000110101001011110
20151014,450,01000110011100000000
20151014,451,11000010011100000000
20151014,452,11000100001000011000
20151014,453,11000000001000011000
20151014,454,11000100011011000000
20151014,455,11000100011011000000
20151014,456,11000010011000000000
20151014,457,11000110010000001100
20151014,458,11000010011101001000
20151014,459,11000010001010001000
20151014,460,11000010011010001000
20151014,461,11000010011010001000
20151014,462,11000010011000011000
20151014,463,11000000001011001000
20151014,464,11000100001010001100
20151014,465,11000110001000000100
20151014,466,11000110001000000000
20151014,467,11000110001010011100
20151014,468,11000110001011001100
20151014,469,11000110011001000100
20151014,470,10010100011010001100
20151014,471,10000100001010000100
20151014,472,00000000001100000100
20151014,473,10000000001100000100
20151014,474,11000110011000010100
20151014,475,11000110011001011110
20151014,476,11000010011100001110
20151014,477,10000000011101001100
20151014,478,10000110011110001110
20151014,479,11100110011110001110
20151014,480,10000110011101011110
20151014,481,01000110011100000110
20151014,482,01000110011100001100
20151014,483,10000110011100001100
20151014,484,10000110011000011100
20151014,485,10000110011000011100
20151014,486,10000010011100011110
20151014,487,10000010011100011100
20151014,488,10000110011110010100
20151014,489,10000110011110010110
20151014,490,11000010011110010100
20151014,491,11100110011110010100
20151014,492,11100010011110000110
20151014,493,11000110011111000100
20151014,494,11000010011111000100
20151014,495,10000010011010010110
20151014,496,11000110011010010100
20151014,497,11000110001010000100
20151014,498,00000110011010010100
20151014,499,00000110011010000100
20151014,500,00000110011010000100
20151014,501,10000110011010000100
20151014,502,10000110001000000100
20151014,503,10000110011010000100
20151014,504,10000110011010001110
20151014,505,10000110011010010100
20151014,506,10000010011000000110
20151014,507,11000110011000000100
20151014,508,10000110011000000100
20151014,509,10000010011100001110
20151015,450,01000000111000001100
20151015,451,00000000100100001100
20151015,452,00000000010101000000
20151015,453,01000010010000000000
20151015,454,01000000111100001000
20151015,455,01000000111100001100
20151015,456,01000000011000000100
20151015,457,01000000010000001100
20151015,458,11000000001000000000
20151015,459,10000000011001000100
20151015,460,11000000010011000100
20151015,461,11000000011001000100
20151015,462,01000100010001000100
20151015,463,01000100011001000100
20151015,464,01000010010101000100
20151015,465,01000010110101000110
20151015,466,00100010011001011110
20151015,467,10100110011000001100
20151015,468,01100000011100001000
20151015,469,11100010111100010000
20151015,470,11100110011000000100
20151015,471,01000010111000011100
20151015,472,01000010000101010100
20151015,473,01000010001100011100
20151015,474,01000010001101011100
20151015,475,01000010001100001100
20151015,476,01000010000101001110
20151015,477,01000110001100001000
20151015,478,01000110000100011100
20151015,479,01000110010100011100
20151015,480,01001110000100001100
20151015,481,00000110001100001100
20151015,482,00000110000000001000
20151015,483,00010110001100000100
20151015,484,00001110001100001100
20151015,485,00000110001100000100
20151015,486,01010110011100000100
20151015,487,00000110000100001100
20151015,488,01000110000100101100
20151015,489,11000110000101101100
20151015,490,01001110000101110100
20151015,491,00010110001101011110
20151015,492,00000110000101010100
20151015,493,00001110001100010110
20151015,494,00000110000100010100
20151015,495,10001110000100010100
20151015,496,01000110010100010100
20151015,497,00000100000000010110
20151015,498,00001110010100010111
20151015,499,00000110010100000110
20151015,500,00000110010000000110
20151015,501,00001110010000010100
20151015,502,00000100010101011100
20151015,503,00000110000100001100
20151015,504,00000110000100001100
20151015,505,00000110000101000100
20151015,506,00101110010101010100
20151015,507,10000110000100000100
20151015,508,00010110000000010110
20151015,509,00010110011100011110
20151016,450,11100010010001000000
20151016,451,11000010001101000110
20151016,452,11010010000101001100
20151016,453,11000010011001001000
20151016,454,11000010011001001000
20151016,455,11000011001001000100
20151016,456,11000011010001000100
20151016,457,11000000010101000000
20151016,458,11000011001101000100
20151016,459,10000011011101000000
20151016,460,11000011011101000000
20151016,461,11000011011101001100
20151016,462,11000011011101001100
20151016,463,11000010010101000000
20151016,464,11000010011101000010
20151016,465,11010010011101000100
20151016,466,11010011011101000000
20151016,467,01000010011101000100
20151016,468,11000010001101000100
20151016,469,01000010010101001100
20151016,470,11000010011101000100
20151016,471,01000010010101000100
20151016,472,01000000000101011100
20151016,473,01000000000101011100
20151016,474,01100011010001011100
20151016,475,01100000010101001100
20151016,476,01000011001101001100
20151016,477,00100111000101001100
20151016,478,00100111001101001100
20151016,479,01000110000101011100
20151016,480,01000110010101011100
20151016,481,01000110011111001100
20151016,482,01000010001111001100
20151016,483,01000110010111001100
20151016,484,01000110010101010100
20151016,485,01000110010111010100
20151016,486,01000010000101000100
20151016,487,01000010000101001100
20151016,488,01000010000101000110
20151016,489,01000010000101000110
20151016,490,01000010000101001100
20151016,491,01000010000101001100
20151016,492,01000010001101001100
20151016,493,01000010001101001100
20151016,494,01000010010101001100
20151016,495,01000010010100001100
20151016,496,00000010000001001000
20151016,497,00000010000001011010
20151016,498,00000010010101011100
20151016,499,00000010010101011100
20151016,500,00000110000101011000
20151016,501,11000010011000010100
20151016,502,10000010001100000100
20151016,503,00000110000101000100
20151016,504,00000110000001000100
20151016,505,10000110000001010110
20151016,506,10000110011101000100
20151016,507,10000110010101000100
20151016,508,10000110001101011100
20151016,509,10000110000101001100
20151020,450,11000110011101011000
20151020,451,11000010010101001000
20151020,452,11000010001101011000
20151020,453,11000010010101011000
20151020,454,11000010011101011000
20151020,455,11000010001101011000
20151020,456,11000010011101001100
20151020,457,01000010001101011100
20151020,458,01000010001101011100
20151020,459,11100010001101011110
20151020,460,11000010011101001100
20151020,461,11000010001101001100
20151020,462,11100010011101001100
20151020,463,11000010011101000100
20151020,464,11000010011101010100
20151020,465,01000010011110000100
20151020,466,01010010011011011100
20151020,467,01000010011101011100
20151020,468,01000110011111011000
20151020,469,01010010011101011010
20151020,470,01100010011000000000
20151020,471,11100010001101011000
20151020,472,11100010011101011000
20151020,473,11000010000100011000
20151020,474,01110010011110001100
20151020,475,11000010011101001000
20151020,476,01000010011101000100
20151020,477,01000010011000010010
20151020,478,11000010011101000010
